mov,bic.w,vdiv.f64,vmrs,push,uxth,vdiv.f64,mov,vmrs,pop,vadd.f64,uxth.w
cmp,add.w,vcvt.f64.s32,beq.n,cmp,lsrs,vadd.f64,bge.n,ite,str,bne.n,lsrs
bne.n,add.w,vdiv.f64,vcmp.f64,sub,uxth,beq.n,adds,vsubgt.f64,add.w,vldr,add.w
adds,sub.w,vcvt.f64.s32,vmrs,ldrh.w,lsrs,vsub.f64,mov,vcmpe.f64,str,vadd.f64,mla
pop,vmov,vadd.f64,bne.n,ldrb.w,mla,vabs.f64,adc.w,vaddle.f64,bx,vsub.f64,uxth
subs,vadd.f64,vdiv.f64,vpop,bgt.n,mov.w,vcmpe.f64,cmp,vmrs,vmul.f32,vsub.f64,lsrs
mov,vldr,vsub.f64,vmov.f64,ldr,mla,vmov.f64,sbcs.w,vadd.f64,add,vstmia,mla
cmp,vsub.f64,vadd.f64,vmov.f64,subs,ldr.w,vmrs,mov,it,bl,cmp,mov
bne.n,vadd.f64,vsub.f64,bx,str,lsrs,bgt.n,mov,bmi.n,movw,vadd.f64,str
adds,vldr,vadd.f64,vmov.f64,ldr,uxth,vmov,mov,vmovmi.f64,movt,bne.n,add.w
pop,vsub.f64,vsub.f64,vmov.f64,str,add.w,adds,bge.n,vcmpe.f64,push,add,orr.w
subs,vadd.f64,vadd.f64,blx,ldr,mla,cmp,adds,vmrs,movw,vldr,str
mov,vadd.f64,vsub.f64,add,str,lsrs,vcvt.f64.s32,mov,it,ldmia.w,mov,mov
cmp,vadd.f64,beq.n,add,ldr,uxth,vmul.f64,adc.w,bmi.n,movw,vldmdb,pop
bne.n,vadd.f64,vsub.f64,ldr,str,mov.w,vdiv.f64,cmp,vmovmi.f64,uxth,cmp,bl
adds,vsub.f64,vabs.f64,push,ldr,mov.w,vadd.f64,sbcs.w,vcmpe.f64,lsrs,vadd.f64,orrs.w
pop,vsub.f64,vcmpe.f64,vpush,str,mla,beq.n,mov,ldr,uxth,bne.n,it
subs,vadd.f64,vmov.f64,sub,str,mov.w,vsub.f64,mov,add,lsrs,vldmdb,push
mov,vsub.f64,vmrs,vmov.f64,str,mov,vabs.f64,mov,vldr,mla,cmp,moveq.w
cmp,vldmia,bgt.n,vmov.f64,bl,add.w,vcmpe.f64,bge.n,ldr,mla,vadd.f64,b.n
bne.n,vmul.f64,vmov,blx,push,orr.w,vmov.f64,adds,vmrs,pop,bne.n,mov.w
adds,vmul.f64,adds,add,cmp,ldr,vmrs,mov,it,str,vldmdb,add.w
pop,vstmia,adds,add,sub,strb,bgt.n,adc.w,vsubgt.f64,add.w,cmp,movs.w
subs,cmp,vmov,ldr,ldrh.w,lsrs,vmov,cmp,add,str,vadd.f64,beq.w
mov,vmul.f64,adds,vmov,ldrb.w,orr.w,adds,sbcs.w,vldr,bx,bne.n,mov.w
cmp,bne.n,vmov,and.w,bgt.n,strb.w,cmp,mov,it,vadd.f32,vldmdb,movs.w
