adds,bne.n,vmov,it,ldr,mov,vmul.f64,sbcs.w,add,ble.n
pop,vldr,adds,bne.n,str,add.w,vdiv.f64,mov,bls.n,cmp.w
subs,vadd.f64,adds,rsbsne,ldr,orr.w,vadd.f64,mov,vmov.f64,blt.n
mov,vsub.f64,vmov,it,str,ldr,beq.n,mov,vpop,beq.n
cmp,vsub.f64,adds,movcc,ldr,strb,vsub.f64,bge.n,ldmia.w,vsub.f32
bne.n,vstmia,vmov,b.n,str,lsrs,vabs.f64,adds,b.w,add
adds,cmp,adds,pop,ldr,orr.w,vcmpe.f64,mov,vmov,pop
pop,vadd.f64,vmov,bx,str,strb.w,vmov.f64,adc.w,push,vsub.f32
subs,bne.n,adds,vabs.f64,str,ldr.w,vmrs,cmp,vpush,vmul.f32
mov,vldr,vcvt.f64.s32,cmp,str,mov,bgt.n,sbcs.w,vmov.f64,vmov.f32
cmp,vadd.f64,vmov,ble.w,bl,lsrs,vmov,mov,subw,blx
bne.n,vsub.f64,adds,beq.n,push,orr.w,adds,mov,cmp.w,add
adds,vsub.f64,vmov,cmp,cmp,strb.w,cmp,mov,mov,add
pop,vstmia,mov,beq.n,sub,lsrs,vcvt.f64.s32,bge.n,blt.w,ldr
subs,cmp,vmov,vldr,ldrh.w,ldr.w,vmul.f64,adds,movw,vmov
mov,vadd.f64,adds,vldr,ldrb.w,orr.w,vdiv.f64,mov,movt,movw
cmp,bne.n,adds,b.n,bgt.n,ldr,vadd.f64,adc.w,cmp,movt
bne.n,vldr,vmov,vmov.f64,ldr,strb,beq.n,cmp,it,vmov.f32
adds,vldmdb,cmp,vmov.f64,subs,lsrs,vsub.f64,sbcs.w,bgt.w,push
pop,cmp,vdiv.f64,add,str,orr.w,vabs.f64,mov,movgt,sub
subs,vadd.f64,vcvt.f64.s32,vpop,ldr,strb.w,vcmpe.f64,mov,ldr.w,bic.w
mov,bne.n,vdiv.f64,pop,str,ldr.w,vmov.f64,mov,add,cmp
cmp,vldmdb,vcvt.f64.s32,vldr,ldr,lsrs,vmrs,bge.n,vldr,ble.n
bne.n,cmp,vdiv.f64,vldr,str,lsrs,bgt.n,adds,vsub.f64,cmp.w
adds,vadd.f64,vcvt.f64.s32,bl,ldr,lsrs,vmov,mov,vcmpe.f64,blt.n
pop,bne.n,vdiv.f64,vabs.f64,str,strb.w,adds,adc.w,vmrs,beq.n
subs,vldmdb,vcvt.f64.s32,vabs.f64,ldr,ldr,cmp,cmp,it,vsub.f32
mov,cmp,vdiv.f64,vcmpe.f64,str,ldr.w,vcvt.f64.s32,sbcs.w,bmi.n,add
cmp,vadd.f64,vcvt.f64.s32,vmrs,str,strb,vmul.f64,mov,vmovmi.f64,pop
bne.n,bne.n,vdiv.f64,bpl.n,str,strb.w,vdiv.f64,mov,ldr.w,subs
adds,vldmdb,vcvt.f64.s32,vdiv.f64,bl,add.w,vadd.f64,mov,add,vdiv.f32
pop,cmp,vdiv.f64,vmov.f64,push,cmp.w,beq.n,bge.n,vldr,bne.n
subs,vadd.f64,vcvt.f64.s32,vmov.f64,cmp,bne.n,vsub.f64,adds,vcmpe.f64,vadd.f32
mov,bne.n,vadd.f64,vmov.f64,sub,uxth,vabs.f64,mov,vmrs,add
cmp,vldmdb,vdiv.f64,vmla.f64,ldrh.w,lsrs,vcmpe.f64,adc.w,ble.w,eors
bne.n,cmp,vsub.f64,vmla.f64,ldrb.w,uxth,vmov.f64,cmp,ubfx,movw
adds,vadd.f64,vadd.f64,vmls.f64,bgt.n,lsrs,vmrs,sbcs.w,asrs,lsrs
pop,bne.n,vsub.f64,vdiv.f64,ldr,mla,bgt.n,mov,orr.w,movt
subs,vldmdb,vadd.f64,vdiv.f64,subs,mov.w,bx,mov,subw,rsb
mov,cmp,vsub.f64,b.n,str,mla,ldrd,mov,orr.w,eor.w
cmp,vadd.f64,vadd.f64,vcmp.f64,ldr,ldr.w,ldrb.w,bge.n,adds,mvns
bne.n,bne.n,vsub.f64,vmrs,str,lsrs,adds,movw,ldr.w,add.w
adds,vldr,beq.n,bne.n,ldr,uxth,adc.w,movt,vmov,rsb
pop,vsub.f64,vsub.f64,vcmp.f64,str,add.w,strd,ldrd,add,adds
subs,vldr,vabs.f64,vmrs,ldr,mla,cmp,movs,vldr,sub.w
mov,vadd.f64,vcmpe.f64,beq.n,str,lsrs,beq.n,and.w,vcmpe.f64,umull
cmp,vldr,vmov.f64,vcmp.f64,ldr,uxth,orrs.w,orrs.w,vmrs,vmul.f32
bne.n,vadd.f64,vmrs,vmrs,str,mov.w,beq.n,beq.n,bgt.w,umull
adds,vadd.f64,bgt.n,bne.n,str,mov.w,cmp,add,ldr.w,lsrs
pop,vldr,vmov,vsub.f64,str,mla,it,pop,vmov.f64,lsls
subs,vsub.f64,adds,vcmp.f64,bl,mov.w,cmpeq,ldrd,ldr.w,orr.w
mov,vldr,adds,vmrs,push,mov,bcc.n,ldrb.w,add,mov.w
cmp,vadd.f64,vmov,ite,cmp,add.w,mov,adds,vldr,mov.w
bne.n,vldr,adds,movne,sub,orr.w,blx,adc.w,add,orr.w
adds,vadd.f64,vmov,cmp,ldrh.w,ldr,vmov.f64,strd,ldr.w,vsub.f32
pop,vadd.f64,adds,bne.w,ldrb.w,strb,movs,cmp,vadd.f64,vdiv.f32
subs,vsub.f64,vmov,vcmp.f64,bgt.n,lsrs,vldr,beq.n,add.w,vdiv.f32
