subs,vadd.f64,adds,rsbsne,ldr,orr.w,vadd.f64,mov,vmov.f64,blt.n,vadd.f64,uxth,movs,lsrs,vcmpe.f64,subs
mov,vsub.f64,vmov,it,str,ldr,beq.n,mov,vpop,beq.n,vadd.f64,lsrs,adds,lsrs,vmrs,tst.w
cmp,vsub.f64,adds,movcc,ldr,strb,vsub.f64,bge.n,ldmia.w,vsub.f32,vadd.f64,uxth,mov,stmdb,bpl.n,mov.w
bne.n,vstmia,vmov,b.n,str,lsrs,vabs.f64,adds,b.w,add,vadd.f64,lsrs,eor.w,lsrs,vmov.f64,ite
adds,cmp,adds,pop,ldr,orr.w,vcmpe.f64,mov,vmov,pop,vsub.f64,mla,eor.w,and.w,bl,mov
pop,vadd.f64,vmov,bx,str,strb.w,vmov.f64,adc.w,push,vsub.f32,vsub.f64,mla,eor.w,and.w,stmdb,andseq.w
subs,bne.n,adds,vabs.f64,str,ldr.w,vmrs,cmp,vpush,vmul.f32,vadd.f64,uxth.w,eor.w,and.w,vpush,eorne.w
mov,vldr,vcvt.f64.s32,cmp,str,mov,bgt.n,sbcs.w,vmov.f64,vmov.f32,vsub.f64,lsrs,adds,eor.w,vmov.f64,bne.n
cmp,vadd.f64,vmov,ble.w,bl,lsrs,vmov,mov,subw,blx,vldmia,add.w,adc.w,and.w,sub,eor.w
bne.n,vsub.f64,adds,beq.n,push,orr.w,adds,mov,cmp.w,add,vmul.f64,mla,adds,eor.w,movs,subs
adds,vsub.f64,vmov,cmp,cmp,strb.w,cmp,mov,mov,add,vmul.f64,uxth,adcs,and.w,add,tst.w
pop,vstmia,mov,beq.n,sub,lsrs,vcvt.f64.s32,bge.n,blt.w,ldr,vstmia,lsrs,cmp.w,and.w,mov,mov.w
subs,cmp,vmov,vldr,ldrh.w,ldr.w,vmul.f64,adds,movw,vmov,cmp,mla,bne.n,mov.w,bl,ite
mov,vadd.f64,adds,vldr,ldrb.w,orr.w,vdiv.f64,mov,movt,movw,vmul.f64,mov,eor.w,and.w,vmrs,mov
cmp,bne.n,adds,b.n,bgt.n,ldr,vadd.f64,adc.w,cmp,movt,bne.n,str,movs,orr.w,bic.w,andseq.w
bne.n,vldr,vmov,vmov.f64,ldr,strb,beq.n,cmp,it,vmov.f32,vldmia,add.w,adds,eor.w,str,eorne.w
adds,vldmdb,cmp,vmov.f64,subs,lsrs,vsub.f64,sbcs.w,bgt.w,push,vmul.f64,orr.w,mov,and.w,bic.w,bne.n
pop,cmp,vdiv.f64,add,str,orr.w,vabs.f64,mov,movgt,sub,vmul.f64,str,eor.w,and.w,vmsr,eor.w
subs,vadd.f64,vcvt.f64.s32,vpop,ldr,strb.w,vcmpe.f64,mov,ldr.w,bic.w,vstmia,mov,eor.w,eor.w,movs,subs
mov,bne.n,vdiv.f64,pop,str,ldr.w,vmov.f64,mov,add,cmp,cmp,pop,eor.w,eor.w,bx,tst.w
cmp,vldmdb,vcvt.f64.s32,vldr,ldr,lsrs,vmrs,bge.n,vldr,ble.n,vmul.f64,bl,eor.w,and.w,mov,mov.w
bne.n,cmp,vdiv.f64,vldr,str,lsrs,bgt.n,adds,vsub.f64,cmp.w,bne.n,orrs.w,adds,eors,bl,ite
adds,vadd.f64,vcvt.f64.s32,bl,ldr,lsrs,vmov,mov,vcmpe.f64,blt.n,vldmia,it,adc.w,eors,cmp.w,moveq
pop,bne.n,vdiv.f64,vabs.f64,str,strb.w,adds,adc.w,vmrs,beq.n,vmul.f64,push,adds,orr.w,beq.n,ands.w
subs,vldmdb,vcvt.f64.s32,vabs.f64,ldr,ldr,cmp,cmp,it,vsub.f32,vmul.f64,moveq.w,adcs,and.w,ble.n,eorne.w
mov,cmp,vdiv.f64,vcmpe.f64,str,ldr.w,vcvt.f64.s32,sbcs.w,bmi.n,add,vstmia,b.n,cmp.w,eor.w,cmp,bne.n
cmp,vadd.f64,vcvt.f64.s32,vmrs,str,strb,vmul.f64,mov,vmovmi.f64,pop,cmp,mov.w,bne.n,eor.w,bne.n,cmp
bne.n,bne.n,vdiv.f64,bpl.n,str,strb.w,vdiv.f64,mov,ldr.w,subs,vmul.f64,add.w,eor.w,orr.w,vmrs,bne.n
adds,vldmdb,vcvt.f64.s32,vdiv.f64,bl,add.w,vadd.f64,mov,add,vdiv.f32,bne.n,movs.w,movs,eors,bic.w,ldrb.w
pop,cmp,vdiv.f64,vmov.f64,push,cmp.w,beq.n,bge.n,vldr,bne.n,vldmia,beq.w,adds,and.w,orrs,movs
subs,vadd.f64,vcvt.f64.s32,vmov.f64,cmp,bne.n,vsub.f64,adds,vcmpe.f64,vadd.f32,vmul.f64,mov.w,mov,orr.w,vmsr,eor.w
mov,bne.n,vadd.f64,vmov.f64,sub,uxth,vabs.f64,mov,vmrs,add,vmul.f64,movs.w,eor.w,and.w,movs,subs
cmp,vldmdb,vdiv.f64,vmla.f64,ldrh.w,lsrs,vcmpe.f64,adc.w,ble.w,eors,vstmia,it,eor.w,orr.w,bx,tst.w
bne.n,cmp,vsub.f64,vmla.f64,ldrb.w,uxth,vmov.f64,cmp,ubfx,movw,cmp,addne,eor.w,orr.w,vmov,mov.w
adds,vadd.f64,vadd.f64,vmls.f64,bgt.n,lsrs,vmrs,sbcs.w,asrs,lsrs,vmul.f64,movs.w,eor.w,ldmia.w,movw,ite
pop,bne.n,vsub.f64,vdiv.f64,ldr,mla,bgt.n,mov,orr.w,movt,bne.n,it,adds,mov,movt,mov
subs,vldmdb,vadd.f64,vdiv.f64,subs,mov.w,bx,mov,subw,rsb,vldmia,addne,adc.w,ubfx,bic.w,andseq.w
mov,cmp,vsub.f64,b.n,str,mla,ldrd,mov,orr.w,eor.w,vmul.f64,add.w,adds,bl,mov,eorne.w
cmp,vadd.f64,vadd.f64,vcmp.f64,ldr,ldr.w,ldrb.w,bge.n,adds,mvns,vmul.f64,rsb,adcs,lsrs,add.w,bne.n
bne.n,bne.n,vsub.f64,vmrs,str,lsrs,adds,movw,ldr.w,add.w,vstmia,lsl.w,cmp.w,lsrs,add.w,eor.w
adds,vldr,beq.n,bne.n,ldr,uxth,adc.w,movt,vmov,rsb,cmp,lsr.w,bne.n,stmdb,cmp,subs
pop,vsub.f64,vsub.f64,vcmp.f64,str,add.w,strd,ldrd,add,adds,vmul.f64,lsl.w,eor.w,lsrs,bhi.w,tst.w
subs,vldr,vabs.f64,vmrs,ldr,mla,cmp,movs,vldr,sub.w,bne.n,orr.w,movs,and.w,movw,mov.w
mov,vadd.f64,vcmpe.f64,beq.n,str,lsrs,beq.n,and.w,vcmpe.f64,umull,vldmia,lsr.w,adds,and.w,movt,ite
cmp,vldr,vmov.f64,vcmp.f64,ldr,uxth,orrs.w,orrs.w,vmrs,vmul.f32,vmul.f64,add,mov,and.w,cmp,mov
bne.n,vadd.f64,vmrs,vmrs,str,mov.w,beq.n,beq.n,bgt.w,umull,vmul.f64,b.n,eor.w,eor.w,ble.w,andseq.w
adds,vadd.f64,bgt.n,bne.n,str,mov.w,cmp,add,ldr.w,lsrs,vstmia,cmp.w,eor.w,and.w,vmov.f64,eorne.w
pop,vldr,vmov,vsub.f64,str,mla,it,pop,vmov.f64,lsls,cmp,bcc.n,eor.w,eor.w,b.n,bne.n
subs,vsub.f64,adds,vcmp.f64,bl,mov.w,cmpeq,ldrd,ldr.w,orr.w,vmul.f64,cmp.w,eor.w,and.w,add,eor.w
mov,vldr,adds,vmrs,push,mov,bcc.n,ldrb.w,add,mov.w,bne.n,bcc.n,adds,and.w,bl,subs
cmp,vadd.f64,vmov,ite,cmp,add.w,mov,adds,vldr,mov.w,vldr,lsrs,adc.w,mov.w,push,tst.w
bne.n,vldr,adds,movne,sub,orr.w,blx,adc.w,add,orr.w,vldr,movs.w,adds,and.w,vmrs,mov.w
adds,vadd.f64,vmov,cmp,ldrh.w,ldr,vmov.f64,strd,ldr.w,vsub.f32,vadd.f64,mov.w,adcs,orr.w,bl,ite
pop,vadd.f64,adds,bne.w,ldrb.w,strb,movs,cmp,vadd.f64,vdiv.f32,vsub.f64,add.w,cmp.w,eor.w,vmrs,moveq
subs,vsub.f64,vmov,vcmp.f64,bgt.n,lsrs,vldr,beq.n,add.w,vdiv.f32,vsub.f64,mov.w,bne.n,and.w,adds,ands.w
mov,vadd.f64,adds,vmrs,ldr,orr.w,vmov.f64,orrs.w,vmov,vmov.f32,vstmia,cmn.w,eor.w,and.w,movw,eorne.w
cmp,vadd.f64,vcvt.f64.s32,bne.w,subs,strb.w,vmov.f64,beq.n,add,vadd.f32,cmp,bcs.w,movs,eor.w,movt,bne.n
bne.n,vadd.f64,vmov,vsub.f64,str,ldr.w,vmov.f64,cmp,vmov,blx,vadd.f64,cmp.w,adds,eor.w,and.w,eor.w
adds,vsub.f64,adds,vcmp.f64,ldr,mov,b.n,it,ldr.w,add,bne.n,it,mov,and.w,beq.n,subs
pop,vsub.f64,vmov,vmrs,str,lsrs,vsub.f64,cmpeq,vcvt.f64.s32,add,vldr,adcs.w,eor.w,eors,adds,tst.w
subs,vsub.f64,mov,bne.n,ldr,orr.w,vabs.f64,bcc.n,add,ldr,vadd.f64,adceq.w,eor.w,eors,iteee,mov.w
mov,vcmpe.f64,vmov,vcmp.f64,str,strb.w,vcmpe.f64,mov,vldr,vmov,vsub.f64,orr.w,eor.w,orr.w,ldr,ite
cmp,vadd.f64,adds,vmrs,ldr,lsrs,vmov.f64,blx,ldr.w,movw,vsub.f64,pop,eor.w,and.w,movweq,moveq
bne.n,vmrs,adds,bne.n,str,ldr.w,vmrs,push,add,movt,vstmia,subs,adds,eor.w,movtne,ands.w
adds,vadd.f64,vmov,vsub.f64,ldr,orr.w,bgt.n,sub,vldr,vmov.f32,cmp,vmov,adc.w,eor.w,itt,eorne.w
pop,vadd.f64,cmp,vcmp.f64,str,ldr,vmov,movs,ldr.w,push,vadd.f64,strd,adds,orr.w,andne,bne.n
subs,it,vdiv.f64,vmrs,str,strb,adds,movs,vstr,sub,bne.n,vadd.f64,adcs,eors,orrne,eor.w
mov,ble.n,vcvt.f64.s32,bne.n,str,lsrs,cmp,movs,add,bic.w,vldr,bne.n,cmp.w,and.w,vmsr,subs
